Packet Summary,Packet Details
"Ether / IP / UDP / DNS Qry ""b'edge.microsoft.com.'"" ","###[ Ethernet ]### 
  dst       = 92:56:fc:a6:05:7d
  src       = 5c:51:4f:9c:d9:43
  type      = IPv4
###[ IP ]### 
     version   = 4
     ihl       = 5
     tos       = 0x0
     len       = 64
     id        = 16984
     flags     = 
     frag      = 0
     ttl       = 128
     proto     = udp
     chksum    = 0x2007
     src       = 192.168.43.143
     dst       = 192.168.43.110
     \options   \
###[ UDP ]### 
        sport     = 50148
        dport     = domain
        len       = 44
        chksum    = 0xef98
###[ DNS ]### 
           id        = 45203
           qr        = 0
           opcode    = QUERY
           aa        = 0
           tc        = 0
           rd        = 1
           ra        = 0
           z         = 0
           ad        = 0
           cd        = 0
           rcode     = ok
           qdcount   = 1
           ancount   = 0
           nscount   = 0
           arcount   = 0
           \qd        \
            |###[ DNS Question Record ]### 
            |  qname     = 'edge.microsoft.com.'
            |  qtype     = A
            |  qclass    = IN
           an        = None
           ns        = None
           ar        = None
"
"Ether / IP / UDP / DNS Qry ""b'edge.microsoft.com.'"" ","###[ Ethernet ]### 
  dst       = 92:56:fc:a6:05:7d
  src       = 5c:51:4f:9c:d9:43
  type      = IPv4
###[ IP ]### 
     version   = 4
     ihl       = 5
     tos       = 0x0
     len       = 64
     id        = 16985
     flags     = 
     frag      = 0
     ttl       = 128
     proto     = udp
     chksum    = 0x2006
     src       = 192.168.43.143
     dst       = 192.168.43.110
     \options   \
###[ UDP ]### 
        sport     = 49252
        dport     = domain
        len       = 44
        chksum    = 0xb649
###[ DNS ]### 
           id        = 60706
           qr        = 0
           opcode    = QUERY
           aa        = 0
           tc        = 0
           rd        = 1
           ra        = 0
           z         = 0
           ad        = 0
           cd        = 0
           rcode     = ok
           qdcount   = 1
           ancount   = 0
           nscount   = 0
           arcount   = 0
           \qd        \
            |###[ DNS Question Record ]### 
            |  qname     = 'edge.microsoft.com.'
            |  qtype     = HTTPS
            |  qclass    = IN
           an        = None
           ns        = None
           ar        = None
"
"Ether / IP / UDP / DNS Ans ""b'edge-microsoft-com.dual-a-0036.a-msedge.net.'"" ","###[ Ethernet ]### 
  dst       = 5c:51:4f:9c:d9:43
  src       = 92:56:fc:a6:05:7d
  type      = IPv4
###[ IP ]### 
     version   = 4
     ihl       = 5
     tos       = 0x0
     len       = 167
     id        = 23042
     flags     = DF
     frag      = 0
     ttl       = 64
     proto     = udp
     chksum    = 0x7f6
     src       = 192.168.43.110
     dst       = 192.168.43.143
     \options   \
###[ UDP ]### 
        sport     = domain
        dport     = 50148
        len       = 147
        chksum    = 0x241d
###[ DNS ]### 
           id        = 45203
           qr        = 1
           opcode    = QUERY
           aa        = 0
           tc        = 0
           rd        = 1
           ra        = 1
           z         = 0
           ad        = 0
           cd        = 0
           rcode     = ok
           qdcount   = 1
           ancount   = 4
           nscount   = 0
           arcount   = 0
           \qd        \
            |###[ DNS Question Record ]### 
            |  qname     = 'edge.microsoft.com.'
            |  qtype     = A
            |  qclass    = IN
           \an        \
            |###[ DNS Resource Record ]### 
            |  rrname    = 'edge.microsoft.com.'
            |  type      = CNAME
            |  rclass    = IN
            |  ttl       = 1759
            |  rdlen     = 45
            |  rdata     = 'edge-microsoft-com.dual-a-0036.a-msedge.net.'
            |###[ DNS Resource Record ]### 
            |  rrname    = 'edge-microsoft-com.dual-a-0036.a-msedge.net.'
            |  type      = CNAME
            |  rclass    = IN
            |  ttl       = 18
            |  rdlen     = None
            |  rdata     = 'dual-a-0036.a-msedge.net.'
            |###[ DNS Resource Record ]### 
            |  rrname    = 'dual-a-0036.a-msedge.net.'
            |  type      = A
            |  rclass    = IN
            |  ttl       = 54
            |  rdlen     = 4
            |  rdata     = 13.107.21.239
            |###[ DNS Resource Record ]### 
            |  rrname    = 'dual-a-0036.a-msedge.net.'
            |  type      = A
            |  rclass    = IN
            |  ttl       = 54
            |  rdlen     = 4
            |  rdata     = 204.79.197.239
           ns        = None
           ar        = None
"
"Ether / IP / UDP / DNS Ans ""b'edge-microsoft-com.dual-a-0036.a-msedge.net.'"" ","###[ Ethernet ]### 
  dst       = 5c:51:4f:9c:d9:43
  src       = 92:56:fc:a6:05:7d
  type      = IPv4
###[ IP ]### 
     version   = 4
     ihl       = 5
     tos       = 0x0
     len       = 182
     id        = 23045
     flags     = DF
     frag      = 0
     ttl       = 64
     proto     = udp
     chksum    = 0x7e4
     src       = 192.168.43.110
     dst       = 192.168.43.143
     \options   \
###[ UDP ]### 
        sport     = domain
        dport     = 49252
        len       = 162
        chksum    = 0xb2e6
###[ DNS ]### 
           id        = 60706
           qr        = 1
           opcode    = QUERY
           aa        = 0
           tc        = 0
           rd        = 1
           ra        = 1
           z         = 0
           ad        = 0
           cd        = 0
           rcode     = ok
           qdcount   = 1
           ancount   = 2
           nscount   = 1
           arcount   = 0
           \qd        \
            |###[ DNS Question Record ]### 
            |  qname     = 'edge.microsoft.com.'
            |  qtype     = HTTPS
            |  qclass    = IN
           \an        \
            |###[ DNS Resource Record ]### 
            |  rrname    = 'edge.microsoft.com.'
            |  type      = CNAME
            |  rclass    = IN
            |  ttl       = 1230
            |  rdlen     = 45
            |  rdata     = 'edge-microsoft-com.dual-a-0036.a-msedge.net.'
            |###[ DNS Resource Record ]### 
            |  rrname    = 'edge-microsoft-com.dual-a-0036.a-msedge.net.'
            |  type      = CNAME
            |  rclass    = IN
            |  ttl       = 15
            |  rdlen     = None
            |  rdata     = 'dual-a-0036.a-msedge.net.'
           \ns        \
            |###[ DNS SOA Resource Record ]### 
            |  rrname    = 'a-msedge.net.'
            |  type      = SOA
            |  rclass    = IN
            |  ttl       = 205
            |  rdlen     = None
            |  mname     = 'ns1.a-msedge.net.'
            |  rname     = 'msnhst.microsoft.com.'
            |  serial    = 2016092901
            |  refresh   = 1800
            |  retry     = 900
            |  expire    = 2419200
            |  minimum   = 240
           ar        = None
"
Ether / IP / TCP 192.168.43.143:55262 > 13.107.21.239:https S,"###[ Ethernet ]### 
  dst       = 92:56:fc:a6:05:7d
  src       = 5c:51:4f:9c:d9:43
  type      = IPv4
###[ IP ]### 
     version   = 4
     ihl       = 5
     tos       = 0x0
     len       = 52
     id        = 60776
     flags     = DF
     frag      = 0
     ttl       = 128
     proto     = tcp
     chksum    = 0xfdc9
     src       = 192.168.43.143
     dst       = 13.107.21.239
     \options   \
###[ TCP ]### 
        sport     = 55262
        dport     = https
        seq       = 3760438703
        ack       = 0
        dataofs   = 8
        reserved  = 0
        flags     = S
        window    = 64240
        chksum    = 0xed20
        urgptr    = 0
        options   = [('MSS', 1460), ('NOP', None), ('WScale', 8), ('NOP', None), ('NOP', None), ('SAckOK', b'')]
"
Ether / IP / TCP 192.168.43.143:55263 > 13.107.21.239:https S,"###[ Ethernet ]### 
  dst       = 92:56:fc:a6:05:7d
  src       = 5c:51:4f:9c:d9:43
  type      = IPv4
###[ IP ]### 
     version   = 4
     ihl       = 5
     tos       = 0x0
     len       = 52
     id        = 60777
     flags     = DF
     frag      = 0
     ttl       = 128
     proto     = tcp
     chksum    = 0xfdc8
     src       = 192.168.43.143
     dst       = 13.107.21.239
     \options   \
###[ TCP ]### 
        sport     = 55263
        dport     = https
        seq       = 2768764806
        ack       = 0
        dataofs   = 8
        reserved  = 0
        flags     = S
        window    = 64240
        chksum    = 0xe664
        urgptr    = 0
        options   = [('MSS', 1460), ('NOP', None), ('WScale', 8), ('NOP', None), ('NOP', None), ('SAckOK', b'')]
"
Ether / IP / TCP 13.107.21.239:https > 192.168.43.143:55262 SA,"###[ Ethernet ]### 
  dst       = 5c:51:4f:9c:d9:43
  src       = 92:56:fc:a6:05:7d
  type      = IPv4
###[ IP ]### 
     version   = 4
     ihl       = 5
     tos       = 0x0
     len       = 52
     id        = 41182
     flags     = DF
     frag      = 0
     ttl       = 106
     proto     = tcp
     chksum    = 0x6054
     src       = 13.107.21.239
     dst       = 192.168.43.143
     \options   \
###[ TCP ]### 
        sport     = https
        dport     = 55262
        seq       = 2448461749
        ack       = 3760438704
        dataofs   = 8
        reserved  = 0
        flags     = SA
        window    = 65535
        chksum    = 0xc84e
        urgptr    = 0
        options   = [('MSS', 960), ('NOP', None), ('WScale', 8), ('NOP', None), ('NOP', None), ('SAckOK', b'')]
"
Ether / IP / TCP 192.168.43.143:55262 > 13.107.21.239:https A,"###[ Ethernet ]### 
  dst       = 92:56:fc:a6:05:7d
  src       = 5c:51:4f:9c:d9:43
  type      = IPv4
###[ IP ]### 
     version   = 4
     ihl       = 5
     tos       = 0x0
     len       = 40
     id        = 60778
     flags     = DF
     frag      = 0
     ttl       = 128
     proto     = tcp
     chksum    = 0xfdd3
     src       = 192.168.43.143
     dst       = 13.107.21.239
     \options   \
###[ TCP ]### 
        sport     = 55262
        dport     = https
        seq       = 3760438704
        ack       = 2448461750
        dataofs   = 5
        reserved  = 0
        flags     = A
        window    = 258
        chksum    = 0x62c
        urgptr    = 0
        options   = ''
"
Ether / IP / TCP 192.168.43.143:55262 > 13.107.21.239:https A / Raw,"###[ Ethernet ]### 
  dst       = 92:56:fc:a6:05:7d
  src       = 5c:51:4f:9c:d9:43
  type      = IPv4
###[ IP ]### 
     version   = 4
     ihl       = 5
     tos       = 0x0
     len       = 1000
     id        = 60779
     flags     = DF
     frag      = 0
     ttl       = 128
     proto     = tcp
     chksum    = 0xfa12
     src       = 192.168.43.143
     dst       = 13.107.21.239
     \options   \
###[ TCP ]### 
        sport     = 55262
        dport     = https
        seq       = 3760438704
        ack       = 2448461750
        dataofs   = 5
        reserved  = 0
        flags     = A
        window    = 258
        chksum    = 0x2fe2
        urgptr    = 0
        options   = []
###[ Raw ]### 
           load      = '\x16\x03\x01\x06\\xdb\x01\x00\x06\\xd7\x03\x03zf\\xe2\\xe1\\xce\\xf1{\x06lr\\x85e\\xcf\\xc4j\\x94\x05J\x07i&ɸ\x07\\xc2\\xe6j\\x95L\\x91T\\xf1 \\xd3\n\\x9f\x14\\xbf\\xf8\\x96\\xef0\\xb8\\xa82>\\xa9\\xa1\x17\\xabZr\\xca7\\xfcci\\xc7\x0e\\xc5PX\\x96\\xfa""\x00 \\x9a\\x9a\x13\x01\x13\x02\x13\x03\\xc0+\\xc0/\\xc0,\\xc00̨̩\\xc0\x13\\xc0\x14\x00\\x9c\x00\\x9d\x00/\x005\x01\x00\x06n\\xda\\xda\x00\x00\x00\x1b\x00\x03\x02\x00\x02\x00#\x00\x00\\xfe\r\x00\\xda\x00\x00\x01\x00\x01\\xe9\x00 z n\\xe1\\xa2\\xc2#\x14ļ0_6\\xfdg\\xe6\\xa11\\xf9`k\\xcdǋ\\x95>Bz\\x89\x0fVx\x00\\xb0\\xa9!Y\\xbf\\x85$\x1fC\\x999\x1d\\x93\\xac\\xc7z\'hJ\\\x7f\\xbd\x12\\x86\\xd4i\x16\\xfa\\xfa\n\\xaa\\x87\\xc4j\\xff\\xaa^\\xeb\\xff\\x92\x0c$b\x0c\\xdf\\xe7\\xefV\\xb0\\xda˰\x1d\\x8e\\xa1x\\x85\\x8b\n\\x80ֈ\\xb0\\xa3\\xa9\\xec\\xe7G\\xc9I\\xa2xg\r\\xd1Ls\\x92\\x9e\x0b\\xe8*\\x9b\\xc4\\xda\x06\\xeeq\t\\x991\\xcc\x7f\\xf3d\\xce*\r(3\\xf8\\xf5w\\xac*hw\x03\\xcc\x7f\\xa4/\x1f6\\x80\\xedF\\xcfo+봎~Y\\xe0{}\\xa1\\x966\\xf2\\x9c)@\\xad\\xf9\\xa8\\xc5=\\xcf]\\\\xacĎ:\\xdc\x03c\\x8d\\xebK\\xe9\\x84i\\xe9\x14Z\\xb8\\x86\\x88\\x83\\xbdpl\\xca-\\x95\\xc9.\x10\x16S\\x80\\xd5_\x00-\x00\x02\x01\x01\x00\x00\x00\x17\x00\x15\x00\x00\x12edge.microsoft.com\x00\x10\x00\x0e\x00\x0c\x02h2\x08http/1.1Di\x00\x05\x00\x03\x02h2\x00\r\x00\x12\x00\x10\x04\x03\x08\x04\x04\x01\x05\x03\x08\x05\x05\x01\x08\x06\x06\x01\x00\n\x00\x0c\x00\nZZc\\x99\x00\x1d\x00\x17\x00\x18\x00\x05\x00\x05\x01\x00\x00\x00\x00\x003\x04\\xef\x04\\xedZZ\x00\x01\x00c\\x99\x04\\xc0\\xe8\\x9a)\\x98\\xc9\\xe16\\xb9AC\\xad\\xf0\\x85\\xb5v\\xff ڡ\\xb9\\xdbu\\xff\\xba\\x84;\\xf0""Go\r!\x182\\x95\\x81\n%\x7f\\xe0B]\\xc30\\xf2f?lU\\xcaN,X\x15\\x96s\x18g\x0c\\xb7\\xc56\x07\\xa2\\x99:\x00\\xcf(\\xf9\\x9f\\xe9\x19\'c\\xc1\x17.`\\xb0pʓ\x1c\\xc2W\\xf8\\xc1\\xac6\\xcbi\\xfa\\x81\x03Tq\\xb3ᬠ\\x90\\xe2N\\xa8\\x9a\\xca\x1f\\xc7\\xcfGه\\x9b4Kv\x1bkR\\xdaT\\xb6\\x8c\\x8c\x19(\\xb8-\\xa7\\x92\x05\'j\\xba\\xc1D\\x8c\t\\xa9\\xd2ĈK\\xf3&\x16\\xa4\x1bUG\\xb7\x18\\xd9W\\xdd*{\\x82\\x82\\xa0\x14\\xf4\x18\\xd9qF\\xd79\\xb9\\xe49\\x97\\xa8d\\xa5\x00\tk\x1e+\x05Υd\\x808\\x920E\\x8eʂ\\xc1\\xff\\xab\\xaeꉮ\\x89\\xba\x05\\x9a\\xa3&\\xe4 \x0f/\\xe55:\\so\\xd6grZ\\xc0\\xcc@\\xb1\\x98\\xfa\x12\x1fp\\xbe\\xab\\xc0yW\\xc1\\x80\\xbe\\xa7\\x81bH\\x85G\\xa8Ye\x0b\n\\xff\x0cD=s\\xc5 \\xb9_\x07\\xf3\\xa8\\xcf\x08\x19\\xbc\\xaaǙ\x19r\\x9a\\xa9(2\\xf7f\\xb4\x07\\xb7\\xdb\\xf6\\xcdQ\x066f\n#\\xec%\\x98)\\xfb\\x8c\\x9aE\\xac\\xb3\\xb098\\x91\\x93.\\x85/4\\xbc\\xb6\\xd0\x00o\x08(\\xcf\\xe2WmTfʗU/X\x00dp\\x96\x1dLgG\\x9d4\\xa3\\xb9\\xe1\x00{\x1cw,\\xe3\\x91\\xfe\\x92\x02:c\x19)\x13\\xb4\\xd2\\xc7s\\x8cAɾG\x1b\\xa4ƗIa/\\xfd\\xc0WoI\'E\x12\\xb7\\xbe\\xa1\\xb9\\xbf\\xdb*\x007}\\xff\x08\\x94;6\\xae\\x97\\xdbe\\xaa\\xac\\x8ba o@\\xc79\\xf0\\xfa\\xba`\\xa0vϘj\\xbe\\x97P\\xeap\\x81\\x8a\\xa2\\xb3ڱ\x0ehlF\\x89\\xa1m\x16!\x1b\\xfe\x04\x18)Iſ\\xf0\x02E\x04%:\\xb6U\x05\x12No\x12\\x8bl""$\\xf0\x10\\xa5\\xaa\\xd9[,\x06\\x94i\x140u\\xd2Eֺ_\\xacu\\x94Uz\\xbf\\xd6\\xe9\\\\x95\\xa8'
"
Ether / IP / TCP 192.168.43.143:55262 > 13.107.21.239:https PA / Raw,"###[ Ethernet ]### 
  dst       = 92:56:fc:a6:05:7d
  src       = 5c:51:4f:9c:d9:43
  type      = IPv4
###[ IP ]### 
     version   = 4
     ihl       = 5
     tos       = 0x0
     len       = 840
     id        = 60780
     flags     = DF
     frag      = 0
     ttl       = 128
     proto     = tcp
     chksum    = 0xfab1
     src       = 192.168.43.143
     dst       = 13.107.21.239
     \options   \
###[ TCP ]### 
        sport     = 55262
        dport     = https
        seq       = 3760439664
        ack       = 2448461750
        dataofs   = 5
        reserved  = 0
        flags     = PA
        window    = 258
        chksum    = 0x8fc6
        urgptr    = 0
        options   = []
###[ Raw ]### 
           load      = '\x17\\xd7\x00i(\\x91\x13\\xd8\\xe5\\xb6$\\xf3\\xbf\\xd2\x10?\\x8cS\\xac4鹀\x1bR\\x98ʇ\\xbd\\xaa\\x99#\\xbb\x19\\xf9{\\x84\\xc0\\xc0*\\xb6,\x10p\\xdap!rw\\xaa\\x9b\x00W\\xecaQ\\xa5\\xb6\\xb6\\xf1)<U\\x83\\xe3\\x955\x18\'\\xa6Yj+tat\x06#\\x8apfS\\xbb\\xe1Ŋ2c\x04\x15\\x88E\\x89\x1c:\\x90z\\xad\x19n\x08L.\\xed7y\x05$o-\x076\\xbd\tz\\xe7U`G\\xa6R\\x95\\x84\\xbf\\xa0\x01\x04T\\x86\\xa8\x1e\\\x1e?\\xba\x18\\x9fK\\x91~K\\xa7\\xb9|.s\\x94zP\x18P\\xe9\\xe4\\x8f\\xf9""\\xa6\\x81\\xc2D\\xcf\\xcb""\x19io\x1d\\x86\\xbb""\\xf1\\x8ebW4$0\\xc9k{\\xb5\x07\x17{Y\\n\\xcb\\xf0@R|B\\x80w4g\\x9co\x15YU\\x89\\xf2\x14\\x8e\x0c\\x9a\\xce\\xf93\\xf5\\xe37)d\\x82\\xa5\x015\\xe2W\x17b\\xfb\r\x0c\\xb0^\\x8fP\\xbb\\xb00\\x914\\xc3\x0e\\x8dRY\r\\x90l?U\\xbeP{\\x81w\\xa8\x1c\\xca+\\x85\\xc7X\\xb5n\\x83b&uF!\x15\\xab>\\xe3\\x9d\x07\\x97́9~\x13\\x94\\xacl\\xb6\x7f\\xc1\\xb2#\\xba\\xb9\\xa0b\\x96\x13o\\xe4&-\\xa7^\\xc0\\x81\\xc0\\x8b\\xc0\x13>K\x08ڳg\\xdf7\r0\n\\xb4\\x94$\\xb8N\\xc0\\xb0\\xe9\x06\x13+\x1b)\\xeaV\x15%\\x96}\\xbd\\xe1\\xb7\x1es\x08\\xc1\\xd0Q\\x8dLx\x18̲\\xa2\x12\x16#E0\r\\xc1\x12\\x9cW\\xa1\\x97v\x1a8W*(ѫ\\x80\x87\\x81\\xd1-\\xd6DH\\xa7\\x95wfvV\x07C.[\\xe2S\\x99\\xa2\\xb3>\\xe5\\xa3\\xe4\x0cq\\xd2y\\xa4K \\xbe\\xb8\\xec\x15}Ժ\\xe1\\xe3\\x9b\x0e\\x92\\xbc]R\x16\\xcaA\\x92+PB\\xca\x0bp\\x94Ҭ币\\xf0û\x11\\x88.\\xd1բ\\xe6#\\xaaI+\\xc3xP>\\x9a\\xe9\x17^ѣ\\xa7bm\\xf44y_\\xe1?\\xd3f6n\x0c\\xa6\\xdd\x08\\xae\\x927gq\\xe4m_\\\\x8f>\\xbaW\\x80\\xa4\\xa4\x1c\\xa4\\xb8qgU\\xf9\\x85\x1b\\xe8\\xec \\x9b\\xf0V\\xdf\\xebw\\xf6\\xc3\\xc54#\x13J\\xc9|E\\x83y\\xa7\\x8afhGyϼc2\\xab\x0e_\\xd1:x\x16\x16N\\xb2\\xc5jp\\xb7\\xb1Yd\\x81\x15@\\xbd:fCE\\x8cG\\xbc\\x81\\xe4gc\\x86s\x07Hx\\xa1+\\xe9s,\\xb2m\\x92:\\xa3\\xfa\\x96\\x89\\xfb1\x17\\x92Ů~\\xebC\\x8e\x02\x02y[{\x07\\xd9O\x10\\xb4X\\xefem]\\xfavR\\xcb;\\xe1{^\x04\x18\t\\x9f\\xc8\x18\\xdbx!WBp\x1f\x05K\x7f\\xe8R5\\xb3\\x8d\\xfb\\xb7|\\xe5\\x82A\\xc8p/?Rf\\x84\\xac4ڂ\x00z,\x0f\\xa8D:\x1f\x17\x01\\xea\\xcb\x02|\\xdcN\x0fV\\x83Z\\x91\\xbb\\xda\x11nM28\\xacŚ\\xc96\\x96\\xb9D/j\\x9c\\xbbBj\'<\x05]\\xbc\\xf6\x0e\\xb7\\xbf\\xc0+S\\xad\\xa1bT\\xc1\'?T\x1a&\\xedWc"">|\\xeaQ\x15B\x0b\x00\x1d\x00 T\\xe8\\xc5F,\\x81ml\\xb0ET\\xe1.S\x1cc\x0bŨl0\x0c\\xa8N\x00\\xba\\xc2}X~6n\x00+\x00\x07\x06\n\n\x03\x04\x03\x03\x00\x17\x00\x00\\xff\x01\x00\x01\x00\x00\x0b\x00\x02\x01\x00\x00\x12\x00\x00\\xea\\xea\x00\x01\x00'
"
